title	url	description	clicks	date_added
ByteByteGo	https://blog.bytebytego.com/	Building software is hard. Improve system design skills? Get better [at coding]? Stay ahead of the curve? The ByteByteGo newsletter is here to help.'	0	2024-01-02
Lenny's Newsletter	https://www.lennysnewsletter.com/	Humbly tackling reader questions about product\, growth\, career growth\, and anything else that’s stressing you out at the office'	0	2024-01-02
Bottom Up	https://sacks.substack.com/	Conveys lessons learned through David\'s experience as a founder/CEO and as an investor in many SaaS companies. Focuses on topics relevant to founders who are starting or scaling software companies.	0	2024-01-02
Late Checkout	https://latecheckout.substack.com/	Insights into founding and investing in companies	0	2024-01-02
Margins	https://www.readmargins.com/	Loosely about business of technology industry\, and also technology of the business	0	2024-01-02
Not Boring	https://www.notboring.co/	In-depth analyses of the tech and startup landscape; stories of the most ambitious and complex startups	0	2024-01-02
Interview Prep	https://github.com/aforarup/interview/tree/master	Contains lots of links and pdfs of materials that should help with preparing for engineering interviews	0	2024-01-02
Roadmap-sh	https://roadmap.sh/	A community effort to create roadmaps\, guides and other educational content to help guide developers in picking up a path and guide their learnings	0	2024-01-02
Factorio	https://www.factorio.com/	A game that teaches you system design (kinda)!	0	2024-01-02
cat-me	https://www.npmjs.com/package/cat-me	An npm package that generates ASCII art of cats	0	2024-01-02
Refusing TypeScript is a signal that you don't care about code quality	https://vitonsky.net/blog/2023/09/08/typescript-and-code-quality/	not necessarily true but an interesting read nonetheless	0	2024-01-02
Turbo's PR drama	https://github.com/hotwired/turbo/pull/971	some interesting points about TypeScript and Open Source! but mostly anger	0	2024-01-02
How the Event Loop works	https://youtu.be/cCOL7MC4Pl0?si=pOeWLCh2J0JR1LM2	How the Event Loop works	0	2024-01-02
HTTP Status Dogs	https://httpstatusdogs.com/	Hypertext Transfer Protocol Response status codes. And dogs.	0	2024-01-02
HTTP Status Cats	https://www.flickr.com/photos/girliemac/albums/72157628409467125/	Hypertext Transfer Protocol Response status codes. And cats.	0	2024-01-02
Meeting Notes: Syntactic Tail Calls	https://github.com/tc39/notes/blob/main/meetings/2016-05/may-24.md#syntactic-tail-calls-bt	Transcript of an ECMA meeting discussing Syntactic Tail Calls (funny)	0	2024-01-02
SSH vs. HTTPS for Git: Which One Should You Use?	https://phoenixnap.com/kb/git-ssh-vs-https#:~:text=Use%20SSH%20as%20a%20more,disk%20can%20access%20the%20repository	Why we use HTTP (vs. SSH) when cloning github repos	0	2024-01-02
How to get better at interviewing	https://x.com/shaneaparrish/status/1736806606149501204?s=46&t=8cLRYZzr1FTbjbIQLS5woA	How to get better at interviewing	0	2024-01-02
Google Coding Interview Example	https://youtu.be/XKu_SEDAykw?si=RzVDUggHHv_MWjGY	An example of how to go through a coding whiteboarding interview	0	2024-01-02
Classical Favorites	https://open.spotify.com/playlist/4e4pvEzrZNx7lkxMI84QDV?si=c8daad8ab3474f32	A bunch of Darryl\'s favorite classical pieces for studying	0	2024-01-02
Get that job at Google	https://steve-yegge.blogspot.com/2008/03/get-that-job-at-google.html	A guide to interviewing\, specifically at Google\, but probably applicable in general	0	2024-01-02
Top 12 HTML5 Features	https://www.browserstack.com/guide/top-html5-features	The name says it all! Some cool new features available in HTML 5.	0	2024-01-02
Top 5 Advantages of Using Tailwind CSS	https://www.grazitti.com/blog/top-5-advantages-of-using-tailwind-css/	A nice article arguing why learning tailwind is worth	0	2024-01-02
Why you should use TailwindCSS in your ReactJS project	https://dev.to/kunalukey/why-you-should-use-tailwindcss-in-your-reactjs-project-51kf	Talks about using tailwind and gives some code examples	0	2024-01-02
